car_type,hour,day_of_week,multiplier
SEDAN,15,2,1.205
SEDAN,12,2,1.025
SUV,23,5,1.422
PICKUP,18,6,1.842
SEDAN,10,3,1.185
SUV,12,2,1.282
XE_MAY,18,1,0.514
SEDAN,21,6,1.201
XE_MAY,23,3,0.449
SEDAN,14,6,1.328
SUV,22,0,1.148
PICKUP,21,3,1.246
SEDAN,20,2,1.02
SEDAN,8,5,1.517
SEDAN,22,3,0.905
PICKUP,2,3,1.24
PICKUP,18,3,1.368
PICKUP,17,0,1.637
SUV,22,6,1.48
XE_MAY,3,6,0.579
SEDAN,21,5,1.186
SUV,5,5,1.424
XE_MAY,18,5,0.643
PICKUP,10,6,2.189
PICKUP,3,0,1.282
XE_MAY,8,1,0.593
SEDAN,14,2,1.008
PICKUP,14,6,1.862
SEDAN,11,0,1.007
PICKUP,3,2,1.24
PICKUP,2,0,1.224
SEDAN,11,2,1.022
SUV,14,6,1.578
SEDAN,16,3,1.227
SUV,15,0,1.503
PICKUP,23,5,1.681
PICKUP,10,0,1.71
SUV,1,6,1.506
XE_MAY,0,6,0.58
SUV,20,0,1.27
SEDAN,23,1,0.895
SEDAN,17,1,1.199
SUV,17,3,1.511
PICKUP,7,6,1.861
PICKUP,20,1,1.441
SEDAN,20,5,1.321
PICKUP,12,0,1.393
SEDAN,14,4,0.995
PICKUP,12,0,1.42
SEDAN,6,2,0.886
XE_MAY,18,0,0.488
SEDAN,11,2,0.991
SEDAN,14,0,0.987
SUV,21,6,1.445
PICKUP,16,5,2.149
SUV,19,3,1.216
PICKUP,18,0,1.36
SUV,11,6,1.673
PICKUP,19,1,1.394
SUV,19,4,1.241
XE_MAY,21,1,0.455
SUV,3,1,1.106
SUV,3,1,1.155
SUV,22,1,1.144
PICKUP,13,4,1.366
SEDAN,18,3,0.995
PICKUP,5,3,1.289
SEDAN,17,1,1.232
PICKUP,9,1,1.677
SEDAN,10,6,1.571
PICKUP,19,0,1.372
SUV,0,3,1.158
SEDAN,6,6,1.151
PICKUP,17,4,1.725
PICKUP,13,5,1.836
PICKUP,13,5,1.832
PICKUP,15,1,1.681
XE_MAY,18,0,0.492
SEDAN,9,0,1.177
SUV,7,4,1.229
SUV,5,6,1.435
PICKUP,18,5,1.851
PICKUP,17,4,1.665
XE_MAY,18,0,0.487
SUV,17,6,2.005
SUV,17,6,1.995
XE_MAY,23,3,0.462
SEDAN,13,0,1.03
SEDAN,9,6,1.529
XE_MAY,14,2,0.497
SUV,2,3,1.142
XE_MAY,7,1,0.506
SUV,22,4,1.102
PICKUP,5,4,1.284
SEDAN,6,6,1.151
SEDAN,1,4,0.885
SUV,17,2,1.503
SEDAN,10,5,1.569
SUV,9,4,1.507
SUV,16,5,1.902
XE_MAY,4,6,0.598
PICKUP,1,2,1.242
SEDAN,22,6,1.144
SEDAN,7,1,1.023
SUV,7,6,1.669
PICKUP,15,1,1.717
SUV,20,3,1.273
PICKUP,14,0,1.413
XE_MAY,12,4,0.502
SUV,22,2,1.097
PICKUP,15,2,1.671
XE_MAY,23,0,0.447
PICKUP,20,5,1.794
SUV,2,6,1.482
PICKUP,6,3,1.26
SEDAN,15,2,1.17
SUV,9,2,1.475
SEDAN,18,6,1.314
PICKUP,10,5,2.128
XE_MAY,1,0,0.459
PICKUP,0,0,1.26
SEDAN,14,3,0.999
XE_MAY,13,1,0.503
SEDAN,20,2,1.019
SEDAN,8,0,1.189
SUV,8,0,1.516
SUV,21,5,1.468
SEDAN,1,3,0.887
SUV,23,5,1.496
SEDAN,13,5,1.323
XE_MAY,22,0,0.454
XE_MAY,6,3,0.459
XE_MAY,4,4,0.46
SEDAN,16,5,1.58
PICKUP,0,0,1.285
SUV,3,6,1.48
PICKUP,22,1,1.274
PICKUP,2,1,1.269
PICKUP,2,5,1.663
XE_MAY,3,2,0.441
SUV,9,1,1.534
PICKUP,4,5,1.675
SEDAN,2,4,0.875
XE_MAY,19,5,0.663
SEDAN,14,2,0.978
SEDAN,20,5,1.287
SEDAN,13,4,1.015
PICKUP,6,0,1.234
XE_MAY,4,6,0.596
XE_MAY,18,5,0.663
PICKUP,11,3,1.401
SUV,4,1,1.092
SUV,20,0,1.234
SEDAN,17,4,1.208
SUV,22,0,1.157
SUV,6,4,1.134
SEDAN,23,3,0.887
SUV,20,0,1.26
SEDAN,15,3,1.203
XE_MAY,7,3,0.508
XE_MAY,16,0,0.586
SUV,10,1,1.523
PICKUP,18,3,1.403
SUV,17,5,2.004
SEDAN,15,6,1.545
XE_MAY,0,4,0.454
XE_MAY,0,2,0.462
SEDAN,1,0,0.879
PICKUP,16,2,1.724
PICKUP,13,5,1.841
PICKUP,2,5,1.596
SEDAN,8,0,1.186
SUV,2,4,1.139
SEDAN,4,4,0.877
SUV,12,4,1.256
XE_MAY,9,5,0.773
PICKUP,23,6,1.65
SEDAN,1,1,0.875
XE_MAY,13,0,0.511
PICKUP,19,4,1.44
XE_MAY,9,5,0.802
SEDAN,3,0,0.913
SEDAN,22,0,0.88
SEDAN,15,2,1.219
SUV,5,2,1.093
SEDAN,23,6,1.136
SUV,23,0,1.113
XE_MAY,10,6,0.779
PICKUP,8,4,1.707
XE_MAY,8,5,0.789
XE_MAY,15,3,0.598
SUV,1,3,1.11
SEDAN,11,1,1.03
SUV,3,4,1.12
XE_MAY,7,5,0.648
XE_MAY,1,6,0.573
XE_MAY,7,0,0.509
PICKUP,11,3,1.416
SEDAN,5,6,1.15
XE_MAY,17,6,0.76
PICKUP,7,2,1.415
SEDAN,13,5,1.312
SUV,8,6,1.923
XE_MAY,18,2,0.514
XE_MAY,16,5,0.764
XE_MAY,5,1,0.448
XE_MAY,12,0,0.513
PICKUP,9,6,2.173
SUV,10,0,1.512
PICKUP,0,2,1.252
SEDAN,9,4,1.184
SUV,23,4,1.158
SEDAN,14,2,0.995
PICKUP,6,5,1.677
SEDAN,4,0,0.885
PICKUP,0,1,1.238
SUV,20,6,1.579
XE_MAY,10,0,0.605
PICKUP,23,5,1.625
SUV,3,1,1.15
SEDAN,13,3,0.998
XE_MAY,4,5,0.601
SUV,2,0,1.104
SEDAN,16,3,1.227
SUV,14,5,1.652
XE_MAY,18,0,0.508
SEDAN,20,6,1.327
PICKUP,2,4,1.28
XE_MAY,13,5,0.655
SEDAN,7,2,0.978
SUV,10,6,1.895
PICKUP,22,6,1.679
SUV,10,3,1.51
SUV,7,0,1.272
SEDAN,4,6,1.169
XE_MAY,4,0,0.44
SEDAN,14,3,0.978
SUV,13,0,1.264
SUV,6,3,1.12
SUV,14,2,1.228
XE_MAY,2,1,0.45
SUV,22,5,1.424
XE_MAY,6,6,0.588
SUV,4,0,1.109
SEDAN,11,3,1.018
XE_MAY,21,2,0.445
SUV,5,0,1.122
PICKUP,14,4,1.359
SEDAN,3,3,0.877
XE_MAY,4,0,0.447
XE_MAY,1,6,0.584
SEDAN,4,1,0.905
PICKUP,11,5,1.797
XE_MAY,18,4,0.506
SUV,2,0,1.149
XE_MAY,6,5,0.595
PICKUP,4,0,1.225
SUV,3,0,1.124
PICKUP,1,1,1.23
PICKUP,23,3,1.24
PICKUP,0,3,1.297
PICKUP,5,2,1.233
SEDAN,5,2,0.9
SUV,14,1,1.259
XE_MAY,19,4,0.506
SEDAN,20,2,1.004
PICKUP,13,4,1.359
PICKUP,1,0,1.247
SUV,12,1,1.251
PICKUP,6,5,1.597
SEDAN,20,6,1.288
XE_MAY,12,6,0.632
SUV,15,4,1.462
PICKUP,11,4,1.391
SUV,12,2,1.222
SEDAN,0,2,0.904
SEDAN,0,6,1.183
SUV,1,6,1.489
PICKUP,16,2,1.65
SEDAN,5,0,0.882
SEDAN,21,1,0.879
SUV,17,6,1.966
XE_MAY,7,4,0.506
PICKUP,11,6,1.769
SEDAN,5,1,0.924
SUV,23,5,1.423
SUV,18,0,1.253
SUV,18,4,1.266
SEDAN,18,1,1.022
PICKUP,17,2,1.702
SEDAN,15,0,1.222
XE_MAY,1,1,0.446
SEDAN,0,4,0.917
PICKUP,0,2,1.228
SEDAN,4,2,0.921
SEDAN,10,0,1.203
XE_MAY,4,4,0.459
SEDAN,3,6,1.167
SUV,2,2,1.135
PICKUP,18,0,1.402
SUV,9,2,1.521
SEDAN,5,5,1.141
PICKUP,20,3,1.363
SUV,5,5,1.44
SUV,7,5,1.592
SEDAN,12,2,1.022
SUV,4,1,1.106
XE_MAY,22,4,0.463
PICKUP,18,0,1.386
SEDAN,19,2,0.981
SEDAN,20,4,1.017
XE_MAY,15,1,0.606
SUV,23,0,1.125
SEDAN,11,2,1.003
SEDAN,20,0,1.013
SUV,14,0,1.23
SUV,6,1,1.159
XE_MAY,11,2,0.514
XE_MAY,23,0,0.454
XE_MAY,12,3,0.491
PICKUP,5,3,1.274
PICKUP,12,2,1.364
PICKUP,3,6,1.592
PICKUP,18,5,1.794
SEDAN,5,3,0.898
XE_MAY,1,2,0.46
XE_MAY,10,2,0.608
XE_MAY,2,2,0.457
SEDAN,12,1,0.996
XE_MAY,17,0,0.594
SUV,19,4,1.24
PICKUP,22,0,1.297
PICKUP,20,1,1.361
PICKUP,5,0,1.288
XE_MAY,10,1,0.603
SEDAN,13,5,1.295
SUV,21,2,1.14
SUV,7,0,1.249
XE_MAY,12,4,0.511
PICKUP,4,0,1.29
SUV,0,3,1.12
XE_MAY,9,6,0.77
PICKUP,6,0,1.267
XE_MAY,6,1,0.461
SUV,2,3,1.105
XE_MAY,9,6,0.786
PICKUP,15,3,1.693
SUV,2,5,1.483
PICKUP,5,2,1.232
PICKUP,11,1,1.418
PICKUP,1,2,1.291
PICKUP,14,2,1.373
SEDAN,8,4,1.181
XE_MAY,4,6,0.602
XE_MAY,2,5,0.574
SUV,17,3,1.532
SEDAN,17,0,1.199
PICKUP,16,3,1.655
PICKUP,18,1,1.431
PICKUP,9,0,1.674
PICKUP,22,0,1.261
SEDAN,3,6,1.16
PICKUP,5,1,1.267
SEDAN,6,1,0.882
XE_MAY,13,0,0.497
PICKUP,6,6,1.684
SEDAN,19,2,0.985
SUV,23,6,1.476
XE_MAY,2,3,0.445
PICKUP,17,2,1.708
SUV,16,3,1.467
XE_MAY,22,4,0.463
PICKUP,3,3,1.257
SEDAN,4,4,0.886
XE_MAY,3,4,0.438
XE_MAY,9,6,0.765
SUV,13,2,1.251
PICKUP,20,3,1.386
PICKUP,1,1,1.285
SUV,12,1,1.245
PICKUP,1,3,1.241
SUV,22,1,1.133
XE_MAY,23,3,0.456
SUV,11,0,1.225
SUV,9,2,1.47
SUV,15,6,1.896
XE_MAY,7,1,0.507
SUV,23,3,1.136
SUV,8,5,1.947
PICKUP,19,5,1.858
XE_MAY,6,3,0.458
SEDAN,13,5,1.307
PICKUP,16,6,2.232
SUV,1,4,1.105
SEDAN,2,2,0.879
PICKUP,4,6,1.615
XE_MAY,5,1,0.438
SEDAN,1,1,0.902
XE_MAY,14,0,0.513
SUV,22,1,1.094
SUV,11,6,1.588
PICKUP,16,3,1.675
XE_MAY,21,0,0.462
SEDAN,11,3,0.989
PICKUP,5,6,1.639
PICKUP,18,4,1.361
SUV,11,1,1.224
SUV,23,6,1.505
XE_MAY,9,0,0.617
PICKUP,1,1,1.223
SEDAN,7,5,1.335
SEDAN,21,1,0.908
SUV,20,3,1.278
XE_MAY,21,0,0.449
PICKUP,4,5,1.64
SEDAN,19,6,1.299
XE_MAY,7,2,0.505
SUV,22,5,1.431
SUV,13,3,1.215
SUV,14,2,1.236
SEDAN,14,2,1.012
PICKUP,18,0,1.375
XE_MAY,16,5,0.788
SUV,17,5,2.005
SUV,9,5,1.902
XE_MAY,15,0,0.606
SUV,8,5,1.943
SUV,8,2,1.533
SUV,6,1,1.103
SEDAN,1,6,1.184
PICKUP,21,2,1.286
SEDAN,23,0,0.924
PICKUP,9,2,1.698
PICKUP,12,3,1.4
XE_MAY,18,5,0.655
SEDAN,10,5,1.595
SEDAN,21,4,0.904
PICKUP,21,2,1.224
SUV,5,6,1.5
SEDAN,9,0,1.214
PICKUP,4,5,1.655
SUV,23,6,1.438
SEDAN,21,2,0.909
XE_MAY,7,2,0.497
SEDAN,23,6,1.181
SUV,13,6,1.587
SUV,11,2,1.262
SUV,14,6,1.674
XE_MAY,15,0,0.584
XE_MAY,15,1,0.617
XE_MAY,21,3,0.447
SUV,13,0,1.278
SEDAN,4,1,0.915
SUV,13,4,1.255
PICKUP,4,2,1.278
SEDAN,2,3,0.92
SUV,20,1,1.243
SUV,20,0,1.237
XE_MAY,14,2,0.505
SEDAN,5,4,0.917
SEDAN,15,6,1.585
XE_MAY,4,4,0.458
PICKUP,20,3,1.395
PICKUP,13,3,1.427
PICKUP,0,0,1.231
SEDAN,23,2,0.902
XE_MAY,10,6,0.757
SEDAN,0,5,1.158
XE_MAY,20,5,0.645
SEDAN,7,5,1.292
SUV,9,1,1.518
XE_MAY,12,4,0.497
SUV,5,0,1.122
XE_MAY,9,2,0.591
PICKUP,23,4,1.25
SUV,13,5,1.598
SEDAN,10,3,1.169
SUV,6,1,1.132
PICKUP,0,1,1.273
SEDAN,23,1,0.906
SEDAN,23,0,0.898
SEDAN,3,2,0.894
XE_MAY,12,5,0.664
SUV,17,4,1.502
XE_MAY,19,0,0.499
XE_MAY,20,6,0.632
XE_MAY,1,5,0.579
XE_MAY,13,3,0.496
PICKUP,3,4,1.252
SUV,15,5,1.959
SEDAN,6,5,1.172
XE_MAY,9,3,0.604
XE_MAY,21,4,0.457
SUV,19,4,1.273
SEDAN,13,6,1.317
XE_MAY,16,5,0.801
XE_MAY,9,0,0.583
XE_MAY,15,1,0.589
SEDAN,8,6,1.514
SEDAN,11,5,1.312
PICKUP,9,1,1.72
XE_MAY,17,3,0.591
SEDAN,22,3,0.923
SUV,7,0,1.217
XE_MAY,21,0,0.462
XE_MAY,18,5,0.644
PICKUP,4,0,1.23
XE_MAY,23,5,0.585
XE_MAY,8,5,0.769
SEDAN,14,2,0.987
SUV,14,0,1.236
XE_MAY,5,6,0.596
XE_MAY,9,2,0.601
SUV,13,5,1.607
XE_MAY,3,6,0.589
XE_MAY,0,6,0.593
SEDAN,21,5,1.154
SEDAN,10,2,1.194
PICKUP,19,2,1.368
XE_MAY,11,6,0.638
SUV,5,0,1.137
PICKUP,12,3,1.373
SUV,12,5,1.627
PICKUP,13,5,1.843
SEDAN,3,1,0.879
XE_MAY,5,0,0.452
PICKUP,18,3,1.38
PICKUP,5,4,1.295
PICKUP,11,4,1.399
XE_MAY,21,6,0.596
SEDAN,15,3,1.204
XE_MAY,13,3,0.486
XE_MAY,2,2,0.454
SUV,0,5,1.502
SEDAN,21,6,1.177
SUV,16,4,1.529
XE_MAY,13,5,0.665
SEDAN,15,2,1.18
PICKUP,4,6,1.61
XE_MAY,0,5,0.589
SEDAN,16,6,1.552
PICKUP,15,6,2.229
SEDAN,2,6,1.198
PICKUP,10,1,1.665
SUV,8,0,1.476
SEDAN,17,5,1.586
PICKUP,12,6,1.795
SEDAN,2,3,0.917
PICKUP,18,3,1.394
XE_MAY,15,3,0.606
SUV,3,3,1.098
XE_MAY,3,3,0.453
PICKUP,1,4,1.256
XE_MAY,2,6,0.588
SUV,16,4,1.47
SEDAN,20,5,1.318
PICKUP,10,2,1.717
XE_MAY,7,6,0.639
PICKUP,10,4,1.639
PICKUP,22,5,1.591
SUV,22,3,1.135
XE_MAY,3,6,0.589
SEDAN,0,2,0.903
SUV,20,6,1.599
SUV,17,4,1.49
SUV,22,0,1.131
XE_MAY,5,3,0.45
SEDAN,22,5,1.204
PICKUP,3,2,1.233
SEDAN,6,0,0.911
PICKUP,6,3,1.253
SEDAN,22,2,0.896
XE_MAY,13,0,0.507
XE_MAY,14,3,0.506
SEDAN,15,0,1.235
XE_MAY,17,3,0.587
PICKUP,16,6,2.132
SEDAN,22,4,0.912
SEDAN,23,6,1.176
SEDAN,3,3,0.888
SUV,16,3,1.462
PICKUP,19,5,1.775
SEDAN,8,3,1.228
SUV,9,3,1.472
SEDAN,4,3,0.89
SUV,22,4,1.107
SUV,22,5,1.45
SEDAN,6,1,0.877
SUV,21,2,1.126
SEDAN,22,5,1.14
SEDAN,16,4,1.222
SUV,22,0,1.107
SUV,17,3,1.504
PICKUP,21,5,1.675
SUV,13,6,1.64
XE_MAY,16,0,0.601
XE_MAY,12,1,0.495
XE_MAY,21,0,0.445
SEDAN,8,6,1.576
SEDAN,9,5,1.606
SUV,4,6,1.477
XE_MAY,22,6,0.587
SUV,6,6,1.483
XE_MAY,11,6,0.649
PICKUP,3,4,1.227
SEDAN,23,5,1.174
PICKUP,7,4,1.438
SUV,22,5,1.434
XE_MAY,12,3,0.506
PICKUP,21,2,1.237
XE_MAY,0,5,0.586
SUV,6,4,1.098
PICKUP,7,5,1.815
SUV,18,4,1.269
SEDAN,23,1,0.892
SUV,14,1,1.262
XE_MAY,5,1,0.458
XE_MAY,12,0,0.513
PICKUP,8,4,1.653
SUV,4,1,1.118
SUV,0,2,1.102
PICKUP,22,1,1.297
XE_MAY,4,2,0.462
XE_MAY,20,4,0.501
SUV,15,6,1.99
SUV,2,6,1.464
SUV,16,1,1.511
SEDAN,16,0,1.17
SEDAN,13,4,1.015
PICKUP,2,2,1.232
SEDAN,6,5,1.193
SUV,10,2,1.525
SUV,6,6,1.481
PICKUP,17,6,2.123
XE_MAY,3,5,0.578
SUV,14,1,1.232
SEDAN,1,5,1.16
SUV,12,6,1.585
XE_MAY,12,2,0.513
SUV,0,4,1.129
SUV,16,6,1.927
PICKUP,15,0,1.67
SUV,20,1,1.246
SUV,16,0,1.509
XE_MAY,5,6,0.586
XE_MAY,20,0,0.513
SEDAN,21,5,1.17
SEDAN,21,3,0.927
XE_MAY,6,4,0.459
PICKUP,20,6,1.788
XE_MAY,23,5,0.6
SEDAN,0,3,0.879
SUV,1,0,1.146
XE_MAY,1,1,0.447
SUV,17,0,1.534
SEDAN,8,3,1.227
PICKUP,14,5,1.853
PICKUP,13,2,1.424
XE_MAY,12,5,0.642
XE_MAY,17,0,0.585
XE_MAY,23,4,0.447
XE_MAY,22,6,0.574
XE_MAY,11,4,0.506
XE_MAY,9,6,0.773
SUV,19,0,1.286
SUV,14,3,1.261
PICKUP,21,0,1.284
PICKUP,5,4,1.232
SEDAN,4,5,1.195
PICKUP,17,2,1.723
SEDAN,9,5,1.559
SUV,0,4,1.132
SEDAN,3,0,0.914
XE_MAY,18,4,0.49
PICKUP,17,4,1.68
XE_MAY,9,1,0.596
SUV,6,3,1.101
SEDAN,5,1,0.893
SEDAN,19,6,1.266
SUV,6,0,1.093
SEDAN,21,6,1.144
XE_MAY,17,3,0.617
XE_MAY,9,5,0.782
XE_MAY,8,0,0.617
SEDAN,23,4,0.896
PICKUP,10,2,1.661
SEDAN,21,5,1.17
SEDAN,3,2,0.897
XE_MAY,6,2,0.439
PICKUP,14,2,1.412
SUV,22,4,1.106
SEDAN,18,4,1.007
SUV,10,3,1.514
SEDAN,0,2,0.881
SEDAN,7,5,1.266
PICKUP,8,6,2.221
SUV,4,5,1.459
SUV,15,3,1.46
PICKUP,11,6,1.874
SUV,15,4,1.46
XE_MAY,5,5,0.592
XE_MAY,8,6,0.803
SEDAN,17,1,1.181
SUV,23,5,1.431
XE_MAY,23,0,0.44
XE_MAY,16,5,0.771
XE_MAY,18,4,0.488
PICKUP,18,1,1.416
XE_MAY,17,2,0.584
PICKUP,20,6,1.821
SEDAN,11,3,1.03
SEDAN,18,5,1.324
SUV,4,3,1.133
XE_MAY,12,2,0.494
XE_MAY,21,1,0.453
SEDAN,16,1,1.202
PICKUP,5,1,1.254
SEDAN,23,5,1.144
PICKUP,11,0,1.432
SEDAN,15,1,1.196
XE_MAY,8,2,0.589
SEDAN,1,5,1.161
SEDAN,16,6,1.552
SUV,12,3,1.275
PICKUP,1,0,1.278
SUV,3,5,1.486
SUV,23,2,1.092
SEDAN,12,5,1.293
PICKUP,11,4,1.398
XE_MAY,16,2,0.583
PICKUP,7,4,1.38
PICKUP,11,6,1.848
SUV,15,6,1.908
PICKUP,19,0,1.403
SEDAN,14,1,0.983
SEDAN,2,4,0.874
SUV,6,1,1.108
SEDAN,5,2,0.926
XE_MAY,21,1,0.458
PICKUP,10,5,2.244
XE_MAY,15,5,0.779
PICKUP,15,1,1.641
SEDAN,20,6,1.304
PICKUP,0,1,1.257
XE_MAY,4,4,0.459
SEDAN,4,5,1.142
XE_MAY,18,1,0.5
XE_MAY,5,2,0.441
SEDAN,16,3,1.187
XE_MAY,23,5,0.593
SUV,2,1,1.123
PICKUP,19,3,1.39
PICKUP,5,1,1.252
PICKUP,19,1,1.397
SEDAN,19,5,1.322
SUV,5,5,1.497
SUV,14,4,1.284
XE_MAY,7,3,0.509
PICKUP,4,0,1.246
XE_MAY,6,4,0.455
PICKUP,4,4,1.255
XE_MAY,5,3,0.443
XE_MAY,17,4,0.612
XE_MAY,2,3,0.438
SEDAN,19,4,1.024
XE_MAY,21,5,0.584
PICKUP,16,3,1.694
SUV,1,5,1.476
PICKUP,7,6,1.863
PICKUP,12,2,1.411
XE_MAY,13,1,0.503
SUV,15,6,1.899
SEDAN,2,2,0.901
PICKUP,8,1,1.645
XE_MAY,22,5,0.593
XE_MAY,18,4,0.5
XE_MAY,16,0,0.606
PICKUP,20,1,1.362
SUV,13,2,1.219
XE_MAY,4,3,0.456
SUV,8,6,1.9
PICKUP,18,2,1.364
SUV,21,3,1.092
SEDAN,13,4,1.027
PICKUP,5,2,1.278
PICKUP,8,2,1.665
SUV,22,3,1.111
SEDAN,21,0,0.892
SEDAN,14,6,1.321
SEDAN,3,1,0.909
PICKUP,10,6,2.143
XE_MAY,5,3,0.441
XE_MAY,2,6,0.571
SEDAN,15,4,1.212
PICKUP,2,0,1.28
SUV,7,2,1.232
XE_MAY,19,0,0.486
PICKUP,12,4,1.365
SUV,22,4,1.157
XE_MAY,5,5,0.578
PICKUP,14,0,1.423
SEDAN,21,6,1.179
SUV,6,0,1.117
SEDAN,19,1,0.982
XE_MAY,11,1,0.489
XE_MAY,5,0,0.453
SUV,12,2,1.271
PICKUP,12,4,1.412
SEDAN,16,0,1.202
XE_MAY,2,4,0.438
SUV,23,6,1.504
SUV,11,6,1.654
SUV,7,4,1.234
SEDAN,14,3,1.029
XE_MAY,8,1,0.604
PICKUP,16,0,1.688
XE_MAY,16,2,0.609
SUV,3,6,1.49
SUV,17,6,1.968
SUV,22,3,1.1
PICKUP,18,3,1.386
SEDAN,10,6,1.6
PICKUP,21,3,1.239
XE_MAY,15,0,0.595
SUV,2,3,1.12
SEDAN,21,5,1.166
SEDAN,10,3,1.208
SUV,16,4,1.54
XE_MAY,22,6,0.576
SUV,7,2,1.222
XE_MAY,12,5,0.638
SUV,2,4,1.151
SEDAN,15,2,1.21
SUV,6,4,1.111
SUV,5,5,1.49
SEDAN,15,5,1.594
SEDAN,7,5,1.327
SEDAN,8,1,1.23
SEDAN,6,6,1.153
SEDAN,19,2,1.015
SEDAN,3,0,0.898
XE_MAY,21,5,0.597
PICKUP,19,0,1.419
XE_MAY,15,2,0.61
SUV,15,4,1.514
SUV,15,1,1.471
SUV,12,1,1.253
SEDAN,1,4,0.926
PICKUP,15,4,1.724
XE_MAY,16,2,0.584
PICKUP,21,6,1.605
SEDAN,14,0,0.978
PICKUP,10,5,2.214
XE_MAY,0,5,0.596
SEDAN,12,4,0.983
XE_MAY,10,2,0.6
SUV,5,4,1.148
SUV,7,2,1.267
PICKUP,19,2,1.404
SUV,5,3,1.131
PICKUP,6,3,1.261
SUV,11,6,1.605
PICKUP,8,3,1.687
SEDAN,18,1,1.011
SEDAN,3,5,1.196
SUV,7,4,1.26
PICKUP,12,1,1.422
SEDAN,23,1,0.882
PICKUP,0,1,1.257
PICKUP,15,1,1.631
SUV,15,2,1.477
SUV,17,6,1.976
XE_MAY,12,0,0.515
SEDAN,1,1,0.878
SUV,15,6,1.938
XE_MAY,14,5,0.662
SUV,8,2,1.473
SUV,17,4,1.505
SUV,11,0,1.267
PICKUP,3,2,1.269
SEDAN,18,4,0.981
SEDAN,9,2,1.19
SUV,21,4,1.144
PICKUP,23,3,1.264
XE_MAY,12,4,0.485
SUV,14,5,1.65
SEDAN,5,5,1.137
SUV,13,5,1.649
PICKUP,2,0,1.238
SEDAN,10,1,1.233
SUV,10,5,1.935
SUV,22,2,1.113
PICKUP,8,3,1.645
SUV,23,4,1.112
PICKUP,13,1,1.432
SEDAN,0,1,0.927
SEDAN,21,2,0.893
XE_MAY,6,1,0.449
PICKUP,3,0,1.277
XE_MAY,15,4,0.614
XE_MAY,0,6,0.588
PICKUP,16,6,2.17
XE_MAY,3,2,0.448
SEDAN,2,5,1.184
PICKUP,9,1,1.63
SEDAN,23,2,0.906
PICKUP,20,1,1.388
SEDAN,16,6,1.588
SEDAN,0,0,0.878
SUV,10,6,1.96
PICKUP,14,6,1.818
SUV,17,3,1.513
SEDAN,22,4,0.877
SEDAN,18,4,1.005
PICKUP,20,5,1.827
PICKUP,16,5,2.192
SUV,11,3,1.258
SEDAN,2,3,0.91
SUV,11,3,1.273
SUV,4,2,1.109
XE_MAY,0,4,0.459
SEDAN,11,2,1.0
PICKUP,17,0,1.637
PICKUP,15,2,1.636
XE_MAY,13,6,0.644
SUV,19,1,1.271
XE_MAY,17,2,0.607
SEDAN,13,4,1.017
PICKUP,12,1,1.401
SEDAN,22,5,1.166
PICKUP,12,1,1.37
SUV,2,3,1.113
SEDAN,16,6,1.554
SUV,9,5,1.902
SUV,13,1,1.229
XE_MAY,5,1,0.453
SUV,3,5,1.483
PICKUP,19,3,1.442
SUV,22,4,1.154
PICKUP,6,2,1.271
XE_MAY,4,0,0.448
XE_MAY,5,0,0.454
SUV,8,1,1.526
PICKUP,23,0,1.231
SEDAN,2,1,0.895
XE_MAY,15,1,0.612
SUV,13,2,1.241
PICKUP,11,3,1.406
XE_MAY,10,0,0.603
SEDAN,1,2,0.883
PICKUP,2,4,1.25
PICKUP,5,1,1.247
SUV,12,6,1.579
XE_MAY,3,6,0.568
SEDAN,12,6,1.326
PICKUP,7,5,1.795
XE_MAY,6,3,0.45
XE_MAY,16,5,0.771
SEDAN,15,3,1.232
SUV,10,1,1.478
XE_MAY,23,4,0.448
XE_MAY,8,3,0.613
SUV,6,2,1.148
XE_MAY,21,1,0.442
XE_MAY,7,5,0.662
PICKUP,10,0,1.676
SEDAN,8,4,1.199
XE_MAY,12,6,0.636
SEDAN,0,0,0.877
PICKUP,22,4,1.277
SEDAN,11,6,1.3
XE_MAY,7,1,0.498
PICKUP,2,5,1.661
SUV,20,0,1.27
XE_MAY,11,5,0.637
SEDAN,22,4,0.906
XE_MAY,4,3,0.44
SEDAN,10,4,1.218
SUV,14,5,1.64
SEDAN,0,5,1.202
PICKUP,11,5,1.773
SEDAN,8,0,1.168
PICKUP,22,3,1.244
SUV,17,5,1.922
PICKUP,6,4,1.241
SEDAN,17,2,1.229
SUV,23,3,1.108
SUV,19,6,1.603
SEDAN,2,4,0.914
SEDAN,14,2,0.997
SUV,17,2,1.525
PICKUP,0,6,1.595
PICKUP,23,1,1.259
XE_MAY,19,6,0.632
SUV,19,1,1.217
SUV,23,0,1.152
PICKUP,6,4,1.233
PICKUP,17,1,1.683
SUV,10,3,1.492
SUV,3,0,1.115
XE_MAY,1,6,0.599
SEDAN,5,6,1.136
XE_MAY,6,0,0.454
PICKUP,6,0,1.295
XE_MAY,18,5,0.652
PICKUP,21,3,1.293
SUV,1,2,1.095
SEDAN,19,5,1.294
XE_MAY,0,1,0.444
PICKUP,2,3,1.277
XE_MAY,11,4,0.514
PICKUP,11,6,1.793
XE_MAY,19,2,0.505
XE_MAY,23,0,0.442
SUV,2,1,1.129
XE_MAY,3,5,0.584
SEDAN,17,3,1.234
SEDAN,6,4,0.906
